dimension,ef_search,k,vanilla_recall_at_k,xqdrant_recall_at_k,vanilla_recall_gap,vanilla_p50_ms,vanilla_p95_ms,vanilla_p99_ms,xqdrant_p50_ms,xqdrant_p95_ms,xqdrant_p99_ms
1536,16,10,0.1708,0.118,0.052800000000000014,3.607063,3.7721836499999992,4.068555239999999,3.505979,3.6507982,3.7476839899999996
1536,22,10,0.20020000000000004,0.14920000000000003,0.05100000000000002,3.713333,3.898492299999999,4.193140239999999,3.615188,3.83296935,4.080466249999999
1536,32,10,0.25139999999999996,0.204,0.04739999999999997,3.8995835,4.507766649999998,5.1858439899999995,3.8154375,4.405679799999999,4.77658208
1536,45,10,0.307,0.25920000000000004,0.047799999999999954,4.091333,4.289404149999999,4.40743375,4.034479,4.2168101,4.326249169999999
1536,64,10,0.383,0.3346,0.0484,4.545042,5.531654149999998,10.703648239999996,4.4589795,5.6477389499999795,13.156642419999962
1536,90,10,0.47220000000000006,0.4204,0.05180000000000007,4.993604,5.4044223,9.892581339999994,4.868375,5.343011049999999,6.878771009999996
1536,128,10,0.5718,0.5214000000000001,0.05039999999999989,5.43925,5.7012122000000005,6.945539999999999,5.308271,5.575525,6.18352790999999
1536,181,10,0.6702,0.627,0.043200000000000016,6.1995415,7.082716649999999,14.287742579999996,6.117187,7.0446791499999994,9.413539249999952
1536,256,10,0.7762,0.7487999999999999,0.02740000000000009,6.703354,7.02908925,12.076995589999989,6.614188,7.0035952,9.411218239999997
1536,362,10,0.8696,0.8476000000000001,0.02199999999999991,7.320167,7.5950545,7.915335329999993,7.3506045,7.6567020999999995,8.30833691
1536,512,10,0.9354000000000001,0.9218000000000001,0.013600000000000056,8.0300625,8.5892941,9.331387499999998,8.1096045,8.592114299999999,9.333772409999998
